City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,sisimiut,66.9395,-53.6735,-4.65,82,100,6.56,GL,1697666590
347,weno,7.4515,151.8468,28.2,74,8,3.09,FM,1697666591
348,carmen de apicala,4.1473,-74.7201,31.42,60,48,1.75,CO,1697666592
349,las praderas,-3.3348,-79.7984,29.82,72,93,2.32,EC,1697666592
350,mutare,-18.9707,32.6709,16.0,94,92,1.5,ZW,1697666593
351,lastoursville,-0.8143,12.7287,22.53,99,100,0.76,GA,1697666594
352,la passe,45.5549,-0.8967,16.66,89,74,4.91,FR,1697666594
353,kapa'a,22.0752,-159.319,28.6,59,30,3.13,US,1697666594
354,lompoc,34.6391,-120.4579,27.74,67,20,2.57,US,1697666595
355,skovorodino,53.9833,123.9167,-0.54,59,99,4.26,RU,1697666595
356,llanes,43.4198,-4.7549,19.53,76,97,3.92,ES,1697666596
357,uturoa,-16.7333,-151.4333,26.34,77,36,5.59,PF,1697666596
358,vredendal,-31.6683,18.5012,24.08,38,0,1.91,ZA,1697666597
359,bissau,11.8636,-15.5977,27.06,94,20,1.03,GW,1697666597
360,fortaleza,-3.7227,-38.5247,27.07,74,20,2.57,BR,1697666425
361,boulsa,12.6675,-0.5758,33.25,31,100,2.26,BF,1697666599
362,marsh harbour,26.5412,-77.0636,25.66,59,9,7.25,BS,1697666599
363,bardai,11.65,7.2333,25.43,29,72,2.63,NG,1697666600
